"Qty","Reference","Value","Footprint","MPN","MFR","DIS","DPN","Description","Purchase Link","Datasheet"
"2","C3,C10","10u","Capacitor_SMD:C_0805_2012Metric","CC0805KKX5R8BB106","YAGEO","DigiKey","311-1869-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KKX5R8BB106/5195275",""
"2","C4,C11","220n","Capacitor_SMD:C_0805_2012Metric","CC0805KKX5R8BB106","YAGEO","DigiKey","311-1869-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KKX5R8BB106/5195275",""
"2","C5,C18","0.1u","Capacitor_SMD:C_0805_2012Metric","CC0805KKX5R8BB106","YAGEO","DigiKey","311-1869-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KKX5R8BB106/5195275",""
"6","C6,C7,C8,C19,C20,C21","22u","Capacitor_SMD:C_0805_2012Metric","CC0805KKX5R8BB106","YAGEO","DigiKey","311-1869-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KKX5R8BB106/5195275",""
"2","C9,C12","1u","Capacitor_SMD:C_0805_2012Metric","CC0805KKX5R8BB106","YAGEO","DigiKey","311-1869-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KKX5R8BB106/5195275",""
"4","C13,C15,C16,C17","100n","Capacitor_SMD:C_0805_2012Metric","CC0805KRX7R9BB104","YAGEO","DigiKey","311-1140-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KRX7R9BB104/302874",""
"1","C14","1u","Capacitor_SMD:C_0805_2012Metric","CC0805KKX7R7BB105","YAGEO","DigiKey","311-1365-1-ND","Unpolarized capacitor, small symbol","https://www.digikey.com/en/products/detail/yageo/CC0805KKX7R7BB105/2103103",""
"1","CR1","MMSZ5240B","VMS_Footprints:SOD123_DIO","MMSZ5240B","Diodes Incorporated","DigiKey","MMSZ5245B-FDICT-ND","","","MMSZ5240B"
"1","CR2","ESDCAN03-2BWY","VMS_Footprints:SOT323-3L_STM","ESDCAN03-2BWY","STMicroelectronics","DigiKey","497-15846-1-ND","","https://www.digikey.com/en/products/detail/stmicroelectronics/ESDCAN03-2BWY/5305266","https://www.st.com/resource/en/datasheet/esdcan03-2bwy.pdf"
"1","CR3","ESDA051-1JY","VMS_Footprints:ESDA051-1JY","","","","","","","https://www.st.com/resource/en/datasheet/esda051-1jy.pdf"
"3","D1,D4,D5","GRN","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","LTST-C170GKT","Lite-On Inc.","DigiKey","160-1179-1-ND","Light emitting diode","https://www.digikey.com/en/products/detail/liteon/LTST-C170GKT/269226",""
"1","D2","Blue","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","LTST-C170GKT","Lite-On Inc.","DigiKey","160-1179-1-ND","Light emitting diode","https://www.digikey.com/en/products/detail/liteon/LTST-C170GKT/269226",""
"1","F1","3568","VMS_Footprints:FUSE_3568","","","","","","",""
"1","IC1","STM32C092RCT6","VMS_Footprints:QFP50P1200X1200X160-64N","STM32C092RCT6","STMicroelectronics","DigiKey","497-STM32C092RCT6-ND","Mainstream Arm Cortex-M0+ MCU with 256 Kbytes of Flash memory, 36 Kbytes RAM, 48 MHz CPU, 4x USART, timers, ADC, comm. I/F, 2-3.6V","https://www.digikey.com/en/products/detail/stmicroelectronics/STM32C092RCT6/25935639","https://www.st.com/resource/en/datasheet/stm32c091cb.pdf"
"1","J1","5810132011","VMS_Footprints:Cinch_5810132011_PCB_Header","","","","","","",""
"1","J2","CN1","VMS_Footprints:1x10_Header_f","","","","","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","PPPC101LFBN-RC"
"1","J3","CN2","VMS_Footprints:1x10_Header_f","","","","","Generic connector, single row, 01x10, script generated (kicad-library-utils/schlib/autogen/connector/)","","PPPC101LFBN-RC"
"1","J4","CN3","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","","","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"1","J5","MCU6","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","","","","","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"1","J6","CN4","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","","","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"1","J7","MCU5","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","","","","","Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)","",""
"1","J8","Termination Resistor Jumper","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","","","","","Generic connector, single row, 01x02, script generated","",""
